Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Type (crop_type),Crop Code (crop_code),Fertilizer Name (fertilizer),Irrigation Area Type (area_type),Farm Size Group (size_group),Farm Size Category (size_category),Percentage of Nitrogen (n_percentage),Percentage of Phosphorus (p_percentage),Percentage of Potassium (k_percentage),Total Num of Holdings Growing One or More Crop (num_of_holdings_grow_one_more_crop),Num of Holdings Growing One or More Crop Treated with Chemical Fertilizers (num_of_hold_grow_one_more_crop_ttd_with_chem_fert),Area Under All Crop - High Yielding Variety(HYV) (area_under_all_crop_hyv),Area Under All Crop - Other (area_under_all_crop_other),Area Under All Crop - Total (area_under_all_crop_total),Area Under All Crop - High Yielding Variety(HYV) Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_hyv),Area Under All Crop - Other Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_other),Area Under All Crop - Total Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_total),Quantity of Applied HYV (qty_fert_applied_hyv),Quantity of Applied Other (qty_fert_applied_other),Quantity of Applied Total (qty_fert_applied_total)
"2016","Mizoram","15","Aizawl","261","Total Plantation Crops","Plantation Crops","1599","Urea","Irrigated","Semi-Medium","2.0 - 3.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Odisha","21","Anugul","344","Jowar","Cereals","102","Muriate of Potash (MOP)","Unirrigated","Marginal","Below 1.0","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttar Pradesh","9","Farrukhabad","141","Wheat","Cereals","106","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","597.0","597.0","144.0","0.0","144.0","144.0","0.0","144.0","19.0","0.0","19.0"
"2011","Maharashtra","27","Thane","497","Banana","Fruits","606","Urea","Unirrigated","Semi-Medium","2.0 - 3.99","46.0","0.0","0.0","2780.0","2717.0","5301.0","0.0","0.0","5269.0","0.0","0.0","463.0","0.0","0.0"
"2011","Maharashtra","27","Pune","490","Sugarcane","Sugar","401","NPK Mixture","Irrigated","Semi-Medium","2.0 - 3.99","12.0","32.0","16.0","19598.0","0.0","26979.0","10021.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Tamil Nadu","33","Tiruvannamalai","593","Total Fruits","Fruits","699","Muriate of Potash (MOP)","Unirrigated","Medium","4.0 - 9.99","0.0","0.0","60.0","81.0","20.0","164.0","0.0","164.0","12.0","0.0","12.0","1.0","0.0","1.0"
"2016","Uttar Pradesh","9","Budaun","133","Sugarcane","Sugar","401","Urea","Unirrigated","Large","10 And Above","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Karnataka","29","Bidar","529","Urad","Pulses","203","Di-Ammonium Phosphate (DAP)","Irrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","408.0","408.0","153.0","0.0","153.0","153.0","0.0","153.0","8.0","0.0","8.0"
"2011","Maharashtra","27","Jalgaon","478","Bajra","Cereals","103","Ammonium Sulphate","Irrigated","Medium","4.0 - 9.99","20.6","0.0","0.0","253.0","0.0","186.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttar Pradesh","9","Hardoi","150","Bajra","Cereals","103","Single Super Phosphate (SSP)","Irrigated","Medium","4.0 - 9.99","0.0","16.0","0.0","38.0","0.0","54.0","0.0","54.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Tripura","16","North Tripura","270","All Vegetables","Vegetable","799","Single Super Phosphate (SSP)","Irrigated","Semi-Medium","2.0 - 3.99","0.0","16.0","0.0","531.0","177.0","220.0","36.0","0.0","140.0","0.0","0.0","25.0","0.0","0.0"
"2011","Maharashtra","27","Jalna","479","Cotton","Fiber Crops","1101","Urea Ammonium Phosphate","Unirrigated","Large","10 And Above","20.0","20.0","0.0","563.0","140.0","4215.0","0.0","0.0","1218.0","0.0","0.0","112.0","0.0","0.0"
"2011","Bihar","10","Bhojpur","193","Total Foodgrains","Total Foodgrain","399","Ammonium Nitrate Phosphate","Unirrigated","Large","10 And Above","23.0","23.0","0.0","159.0","0.0","228.0","39.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttar Pradesh","9","Lalitpur","161","Total Sugar Crops","Sugar","499","Single Super Phosphate (SSP)","Irrigated","Marginal","Below 1.0","0.0","16.0","0.0","5901.0","632.0","2296.0","2.0","2456.0","189.0","0.0","189.0","80.0","0.0","80.0"
"2011","Kerala","32","Alappuzha","554","Total Spices & Condiments","Spices","599","Ammonium Phosphate Sulphate","Unirrigated","Small","1.0 - 1.99","18.0","9.0","0.0","3431.0","0.0","0.0","96.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Tamil Nadu","33","Kanchipuram","574","Total Foodgrains","Total Foodgrain","399","Urea","Irrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","1827.0","1807.0","0.0","0.0","11090.0","0.0","0.0","10282.0","0.0","0.0","1316.0"
"2011","Maharashtra","27","Gondia","476","Total Sugar Crops","Sugar","499","Diammonium Sulphate","Unirrigated","Small","1.0 - 1.99","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Chhattisgarh","22","Raipur","387","Total Food Crops","Other Food Crop","999","Di-Ammonium Phosphate (DAP)","Irrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","4576.0","4051.0","18307.0","1825.0","20894.0","15762.0","1590.0","18020.0","1566.0","247.0","1890.0"
"2011","Madhya Pradesh","23","Sidhi","433","Paddy","Cereals","101","Single Super Phosphate (SSP)","Unirrigated","Large","10 And Above","0.0","16.0","0.0","1331.0","0.0","0.0","5341.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttarakhand","5","Tehri Garhwal","55","All Vegetables","Vegetable","799","Urea","Irrigated","Marginal","Below 1.0","46.0","0.0","0.0","3102.0","1117.0","0.0","194.0","194.0","0.0","47.0","47.0","0.0","139.0","139.0"
"2016","Uttar Pradesh","9","Jhansi","153","Wheat","Cereals","106","Triple Super Phosphate (TSP)","Unirrigated","Large","10 And Above","0.0","46.0","0.0","54.0","0.0","506.0","0.0","506.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Seoni","428","Total Cereals","Cereals","199","Ammonium Nitrate Phosphate","Irrigated","Large","10 And Above","23.0","23.0","0.0","1205.0","0.0","9592.0","667.0","10560.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Odisha","21","Bargarh","347","Total Non-Food Crops","Total Non-Food","1999","NPK Mixture","Irrigated","Semi-Medium","2.0 - 3.99","14.0","35.0","14.0","1272.0","63.0","484.0","0.0","0.0","26.0","0.0","0.0","3.0","0.0","0.0"
"2016","Assam","18","Kamrup Metro","618","Cabbage","Vegetable","716","Di-Ammonium Phosphate (DAP)","Irrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","38.0","0.0","16.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Telangana","36","Khammam","509","Total Food Crops","Other Food Crop","999","Single Super Phosphate (SSP)","Irrigated","Small","1.0 - 1.99","0.0","16.0","0.0","60821.0","4376.0","63669.0","2009.0","68681.0","4961.0","0.0","6006.0","955.0","0.0","1174.0"
"2016","Uttar Pradesh","9","Kannauj","155","Sesamum (Til)","Oilseeds","1003","Urea","Irrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Beed","470","Kharif Paddy","Cereals","131","Di-Ammonium Phosphate (DAP)","Unirrigated","Large","10 And Above","18.0","46.0","0.0","173.0","0.0","0.0","1460.0","1460.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Punjab","3","Rupnagar","42","Fodder & Green Manures","Fodder","1499","Diammonium Sulphate","Irrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","2997.0","2478.0","3226.0","0.0","0.0","2356.0","0.0","0.0","386.0","0.0","0.0"
"2011","Maharashtra","27","Amravati","468","Gram","Pulses","201","Muriate of Potash (MOP)","Irrigated","Small","1.0 - 1.99","0.0","0.0","60.0","3908.0","301.0","1969.0","1293.0","0.0","577.0","0.0","0.0","601.0","0.0","0.0"
"2016","Karnataka","29","Kodagu","541","Total Non-Food Crops","Total Non-Food","1999","Single Super Phosphate (SSP)","Unirrigated","Small","1.0 - 1.99","0.0","16.0","0.0","13989.0","1748.0","3525.0","9714.0","13239.0","0.0","1730.0","1730.0","0.0","1180.0","1180.0"
"2016","Odisha","21","Puri","369","Tomato","Vegetable","713","Zinc Sulphate Heptahydrate / Monohydrate","Irrigated","Medium","4.0 - 9.99","0.0","0.0","0.0","4.0","4.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Pratapgarh","629","Fodder & Green Manures","Fodder","1499","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","1640.0","0.0","85.0","170.0","255.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Ahmednagar","466","Tomato","Vegetable","713","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Medium","4.0 - 9.99","0.0","0.0","0.0","106.0","0.0","263.0","0.0","263.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Pune","490","Groundnut","Oilseeds","1001","Nitro Phosphate","Irrigated","Marginal","Below 1.0","23.0","23.0","0.0","8302.0","0.0","2143.0","53.0","2196.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","West Bengal","19","Medinipur West","318","Paddy","Cereals","101","Urea Ammonium Phosphate","Irrigated","Small","1.0 - 1.99","28.0","28.0","0.0","42135.0","6545.0","61954.0","456.0","65584.0","9160.0","0.0","9160.0","1131.0","0.0","1131.0"
"2011","Jharkhand","20","Chatra","323","Moong","Pulses","204","Muriate of Potash (MOP)","Irrigated","Medium","4.0 - 9.99","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Maharashtra","27","Jalna","479","Total Food Crops","Other Food Crop","999","NPK Mixture","Irrigated","Semi-Medium","2.0 - 3.99","12.0","32.0","16.0","14935.0","543.0","21947.0","0.0","0.0","839.0","0.0","0.0","407.0","0.0","0.0"
"2011","Kerala","32","Kollam","559","Total Food Crops","Other Food Crop","999","NPK Mixture","Irrigated","Marginal","Below 1.0","22.0","22.0","11.0","118496.0","0.0","104.0","1538.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Uttar Pradesh","9","Bareilly","130","Sugarcane","Sugar","401","Single Super Phosphate (SSP)","Unirrigated","Marginal","Below 1.0","0.0","16.0","0.0","737.0","0.0","15.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Hassan","539","Total Cereals","Cereals","199","Ammonium Chloride","Unirrigated","Medium","4.0 - 9.99","25.0","0.0","0.0","6054.0","25.0","17072.0","375.0","0.0","48.0","0.0","0.0","4.0","0.0","0.0"
"2016","Haryana","6","Yamunanagar","76","Kharif Paddy","Cereals","131","Muriate of Potash (MOP)","Irrigated","Marginal","Below 1.0","0.0","0.0","60.0","32869.0","24557.0","18157.0","0.0","18157.0","14330.0","0.0","14330.0","1688.0","0.0","1688.0"
"2016","Rajasthan","8","Jodhpur","107","Other Oilseeds","Oilseeds","1088","Di-Ammonium Phosphate (DAP)","Unirrigated","Marginal","Below 1.0","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Madhya Pradesh","23","Gwalior","407","All Vegetables","Vegetable","799","Diammonium Sulphate","Irrigated","Large","10 And Above","18.0","46.0","0.0","25.0","25.0","7.0","0.0","0.0","7.0","0.0","0.0","1.0","0.0","0.0"
"2011","Nagaland","13","Kiphire","614","Total Food Crops","Other Food Crop","999","Zinc Sulphate Heptahydrate / Monohydrate","Irrigated","Small","1.0 - 1.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Datia","401","Total Sugar Crops","Sugar","499","Muriate of Potash (MOP)","Unirrigated","Medium","4.0 - 9.99","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Andhra Pradesh","28","Prakasam","517","Cotton","Fiber Crops","1101","NPK Mixture","Unirrigated","Small","1.0 - 1.99","19.0","19.0","19.0","15607.0","0.0","14232.0","771.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Maharashtra","27","Nashik","487","Sugarcane","Sugar","401","Urea Ammonium Phosphate","Unirrigated","Small","1.0 - 1.99","20.0","20.0","0.0","377.0","0.0","555.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Karnataka","29","Bagalkote","524","Gram","Pulses","201","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","6124.0","5182.0","3745.0","0.0","3745.0","3126.0","0.0","3126.0","549.0","0.0","549.0"
"2011","Andhra Pradesh","28","Kurnool","511","Total Foodgrains","Total Foodgrain","399","Triple Super Phosphate (TSP)","Unirrigated","Medium","4.0 - 9.99","0.0","46.0","0.0","26793.0","183.0","46632.0","32541.0","0.0","0.0","1166.0","0.0","0.0","190.0","0.0"
"2016","Maharashtra","27","Buldhana","472","Total Pulses","Pulses","299","NPK Mixture","Unirrigated","Marginal","Below 1.0","22.0","22.0","11.0","60715.0","2690.0","9278.0","3530.0","14566.0","192.0","0.0","407.0","23.0","0.0","88.0"
"2011","Jharkhand","20","Pakur","337","Total Cereals","Cereals","199","NPK Mixture","Irrigated","Small","1.0 - 1.99","12.0","32.0","16.0","3714.0","0.0","13.0","61.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Madhya Pradesh","23","Shajapur","430","Gram","Pulses","201","Diammonium Sulphate","Irrigated","Large","10 And Above","18.0","46.0","0.0","2292.0","176.0","6227.0","5582.0","0.0","597.0","0.0","0.0","95.0","0.0","0.0"
"2016","Karnataka","29","Bengaluru Urban","525","Total Fruits","Fruits","699","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Semi-Medium","2.0 - 3.99","0.0","0.0","0.0","408.0","68.0","727.0","0.0","727.0","153.0","0.0","153.0","17.0","0.0","17.0"
"2011","Madhya Pradesh","23","Ujjain","435","Jobstears","Cereals","109","Single Super Phosphate (SSP)","Irrigated","Semi-Medium","2.0 - 3.99","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Tamil Nadu","33","Villupuram","596","Total Pulses","Pulses","299","Gypsum","Irrigated","Semi-Medium","2.0 - 3.99","0.0","0.0","0.0","1381.0","0.0","1403.0","0.0","1403.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Tamil Nadu","33","Thanjavur","586","Cucumber","Vegetable","722","Muriate of Potash (MOP)","Irrigated","Small","1.0 - 1.99","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Chhatarpur","398","Jowar","Cereals","102","Single Super Phosphate (SSP)","Unirrigated","Small","1.0 - 1.99","0.0","16.0","0.0","20049.0","3069.0","10806.0","7749.0","18555.0","389.0","1810.0","2199.0","38.0","176.0","214.0"
"2011","Jammu And Kashmir","1","Budgam","2","Chillies","Spices","502","Urea","Irrigated","Small","1.0 - 1.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Maharashtra","27","Solapur","496","Jowar","Cereals","102","NPK Mixture","Unirrigated","Large","10 And Above","10.0","26.0","26.0","3341.0","29.0","33010.0","6925.0","0.0","59.0","0.0","0.0","77.0","0.0","0.0"
